ADRES,NAZWA,TYP,ROZMIAR,LICZBA,FORMULA,FORMULA1,OPIS,OPIS1,SLOWNIK,REGWYM,WYMOG,UWAGI,POLECENIE,POLECENIE1,WYST,DT_DOD
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_48\,.,N,12.2,,"iif(PVAT->NALICZONY>0,PVAT->NALICZONY,.F.)",,"¥czna wysoko˜† podatku naliczonego do odliczenia. Suma kwot z P_39, P_41, P_43, P_44, P_45, P_46 i P_47 (pole opcjonalne). W przypadku braku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_49\,.,N,12.2,,"iif(PVAT->KASY>0,PVAT->KASY,.F.)",,"Kwota wydana na zakup kas rejestruj¥cych, do odliczenia w danym okresie rozliczeniowym pomniejszaj¥ca wysoko˜† podatku nale¾nego (pole opcjonalne). W przypadku wyst¥pienia nadwy¾ki podatku nale¾nego nad naliczonym - w P_49 podaje si© wysoko˜† ulgi na zaku","p kas rejestruj¥cych, w cz©˜ci przysˆuguj¥cej do odliczenia w danym okresie rozliczeniowym, do wysoko˜ci tej nadwy¾ki. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_50\,.,N,12.2,,.F.,,"Wysoko˜† podatku obj©ta zaniechaniem poboru (pole opcjonalne). Podaje si© wysoko˜† podatku obj©t¥ zaniechaniem poboru na podstawie art. 22 ustawy z dnia 29 sierpnia 1997 r. - Ordynacja podatkowa (Dz. U. z 2019 r. poz. 900, z p¢«n. zm.), do wysoko˜ci nadwy","¾ki podatku nale¾nego nad naliczonym pomniejszonej o wysoko˜† ulgi na zakup kas rejestruj¥cych, do odliczenia w danym okresie rozliczeniowym. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_51\,.,N,12.2,,"iif(PVAT->PODATEK>0,PVAT->PODATEK,'0')",,"Wysoko˜† podatku podlegaj¥ca wpˆacie do urz©du skarbowego (pole obowi¥zkowe). W przypadku braku - w polu nale¾y wykaza† ""0"".",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_52\,.,N,12.2,,.F.,,"Kwota wydana na zakup kas rejestruj¥cych, do odliczenia w danym okresie rozliczeniowym przysˆuguj¥ca do zwrotu w danym okresie rozliczeniowym lub powi©kszaj¥ca wysoko˜† podatku naliczonego do przeniesienia na nast©pny okres rozliczeniowy (pole opcjonalne)",. W przypadku gdy wysoko˜† podatku naliczonego jest wi©ksza lub r¢wna wysoko˜ci podatku nale¾nego w danym okresie rozliczeniowym lub wysoko˜† ulgi na zakup kas rejestruj¥cych jest wi©ksza od wysoko˜ci nadwy¾ki podatku nale¾nego nad naliczonym - w P_52 pod,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_53\,.,N,12.2,,"iif(PVAT->NAL_NAL<0,-PVAT->NAL_NAL,.F.)",,"Wysoko˜† nadwy¾ki podatku naliczonego nad nale¾nym (pole opcjonalne). Podaje si© r¢wnie¾ podatek naliczony, kt¢ry w zwi¥zku z brakiem czynno˜ci opodatkowanych podlega przeniesieniu na nast©pny okres rozliczeniowy lub zwrotowi. W tym polu podaje si© tak¾e",wysoko˜† ulgi na zakup kas rejestruj¥cych nieodliczon¥ od podatku nale¾nego w danym okresie rozliczeniowym. W przypadku braku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_54\,.,N,12.2,,.F.,,Wysoko˜† nadwy¾ki podatku naliczonego nad nale¾nym do zwrotu na rachunek wskazany przez podatnika (pole opcjonalne). Podaje si© wysoko˜† r¢¾nicy podatku podlegaj¥c¥ zwrotowi na rachunek bankowy podatnika oraz do zaliczenia na poczet przyszˆych zobowi¥zaä,podatkowych. W przypadku braku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_55\,.,N,12.2,,.F.,,"Zwrot na rachunek VAT, o kt¢rym mowa w art. 87 ust. 6a ustawy (pole opcjonalne). Podaje si© ""1"" w przypadku wyboru zwrotu na rachunek VAT. W przeciwnym przypadku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_56\,.,N,12.2,,.F.,,"Zwrot w terminie, o kt¢rym mowa w art. 87 ust. 6 ustawy (pole opcjonalne). Podaje si© ""1"" w przypadku wyboru zwrotu w terminie 25 dni od dnia zˆo¾enia rozliczenia. W przeciwnym przypadku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_57\,.,N,12.2,,.F.,,"Zwrot w terminie, o kt¢rym mowa w art. 87 ust. 2 ustawy (pole opcjonalne). Podaje si© ""1"" w przypadku wyboru zwrotu w terminie 60 dni od dnia zˆo¾enia rozliczenia. W przeciwnym przypadku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_58\,.,N,1,,.F.,,"Zwrot w terminie, o kt¢rym mowa w art. 87 ust. 5a zdanie pierwsze ustawy (pole opcjonalne).
Podaje si© ""1"" w przypadku wyboru zwrotu w terminie 180 dni od dnia zˆo¾enia rozliczenia. W przeciwnym przypadku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_59\,.,N,1,,.F.,,"Zaliczenie zwrotu podatku na poczet przyszˆych zobowi¥zaä podatkowych (pole opcjonalne). Podaje si© ""1"" w przypadku wnioskowania przez podatnika o zaliczenie zwrotu podatku na poczet przyszˆych zobowi¥zaä podatkowych, zgodnie z art. 76 õ 1 i art. 76b õ 1","ustawy z dnia 29 sierpnia 1997 r. - Ordynacja podatkowa (Dz. U. z 2019 r. poz. 900, z p¢«n. zm.). W przeciwnym przypadku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_60\,.,N,12.2,,.F.,,Wysoko˜† zwrotu do zaliczenia na poczet przyszˆych zobowi¥zaä podatkowych (pole opcjonalne). Podaje si© wysoko˜† zwrotu podatku do zaliczenia na poczet przyszˆych zobowi¥zaä podatkowych. W przypadku braku - pole pozostaje puste.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_61\,.,Z,20,,.F.,,"Rodzaj przyszˆego zobowi¥zania podatkowego (pole opcjonalne). Podaje si© rodzaj przyszˆego zobowi¥zania podatkowego, na poczet kt¢rego zalicza si© zwrot podatku. W przypadku braku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_62\,.,N,12.2,,"iif(PVAT->NAL_NAL<0,-PVAT->NAL_NAL,.F.)",,Wysoko˜† nadwy¾ki podatku naliczonego nad nale¾nym do przeniesienia na nast©pny okres rozliczeniowy (pole opcjonalne). W przypadku braku - pole pozostaje puste.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_63\,.,N,1,,.F.,,"Podatnik wykonywaˆ w okresie rozliczeniowym czynno˜ci, o kt¢rych mowa w art. 119 ustawy (pole opcjonalne). Podaje si© ""1"" w przypadku ˜wiadczenia usˆug turystyki opodatkowanych na zasadach mar¾y. W przeciwnym przypadku - pole pozostaje puste",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_64\,.,N,1,,.F.,,"Podatnik wykonywaˆ w okresie rozliczeniowym czynno˜ci, o kt¢rych mowa w art. 120 ust. 4 lub 5 ustawy (pole opcjonalne). Podaje si© ""1"" w przypadku dostawy towar¢w u¾ywanych, dzieˆ sztuki, przedmiot¢w kolekcjonerskich lub antyk¢w nabytych uprzednio przez p","odatnika w ramach prowadzonej dziaˆalno˜ci gospodarczej, w celu odprzeda¾y, opodatkowanych na zasadach mar¾y. W przeciwnym przypadku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_65\,.,N,1,,.F.,,"Podatnik wykonywaˆ w okresie rozliczeniowym czynno˜ci, o kt¢rych mowa w art. 122 ustawy (pole opcjonalne).
Podaje si© ""1"" w przypadku wykonywania czynno˜ci polegaj¥cych na dostawie, wewn¥trzwsp¢lnotowym nabyciu lub imporcie zˆota inwestycyjnego, zwolnion","ych od podatku zgodnie z art. 122 ust. 1 ustawy, lub gdy podatnik, b©d¥c agentem dziaˆaj¥cym w imieniu i na rzecz innych os¢b, po˜redniczyˆ w dostawie takiego zˆota dla swojego zleceniodawcy, zgodnie z art. 122 ust. 2 ustawy. W przeciwnym przypadku -",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_66\,.,N,1,,.F.,,"Podatnik wykonywaˆ w okresie rozliczeniowym czynno˜ci, o kt¢rych mowa w art. 136 ustawy (pole opcjonalne). Podaje si© ""1"" - w przypadku gdy podatnik, b©d¥c drugim w kolejno˜ci podatnikiem VAT, dokonaˆ transakcji tr¢jstronnej w procedurze uproszczonej. W p",rzeciwnym przypadku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_67\,.,N,1,,.F.,,"Podatnik korzysta z obni¾enia zobowi¥zania podatkowego, o kt¢rym mowa w art. 108d ustawy (pole opcjonalne). Podaje si© ""1"" - w przypadku gdy podatnik korzystaˆ z obni¾enia zobowi¥zania podatkowego, je¾eli zapˆaty zobowi¥zania podatkowego dokonuje w caˆo˜c",i z rachunku VAT w terminie wcze˜niejszym ni¾ termin zapˆaty podatku. W przeciwnym przypadku - pole pozostaje puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_68\,.,N,12.2,,.F.,,"Zbiorcza wysoko˜† korekty podstawy opodatkowania, o kt¢rej mowa w art. 89a ust. 1 ustawy (pole opcjonalne). Podaje si© wysoko˜† korekty podstawy opodatkowania, o kt¢rej mowa w art. 89a ust. 1 ustawy, kt¢ra zostaˆa uwzgl©dniona w pozycjach: K_15, K_17 i K_","19. W przypadku braku - pole pozostaje puste. WA½NE Pole przyjmuje wyˆ¥cznie warto˜ci ujemne lub ""0"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_69\,.,N,12.2,,.F.,,"Zbiorcza wysoko˜† korekty podatku nale¾nego, o kt¢rej mowa w art. 89a ust. 1 ustawy (pole opcjonalne). Podaje si© wysoko˜† korekty podatku nale¾nego, o kt¢rej mowa w art. 89a ust. 1 ustawy, kt¢ra zostaˆa uwzgl©dniona w pozycjach: K_16, K_18 i K_20. W przy","padku braku - pole pozostaje puste.
WA½NE Pole przyjmuje wyˆ¥cznie warto˜ci ujemne lub ""0"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\2.PozycjeSzczegolowe\P_ORDZU\,.,Z,256,,"iif(empty(mp('n',NoteGet(""ND"",""MG"",PVAT->NR_DOK))),.F.,mg('n'))",,"Uzasadnienie przyczyn zˆo¾enia korekty (pole fakultatywne). Pole tekstowe, kt¢re zast¥piˆo dotychczasowy zaˆ¥cznik stanowi¥cy wyja˜nienia przyczyn korekty deklaracji.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\3.Deklaracja\3.Pouczenia\,.,N,1,,"""1""",,"Podanie ""1"" oznacza potwierdzenie zapoznania si© z tre˜ci¥ i akceptacj© poni¾szych pouczeä:
. W przypadku niewpˆacenia w obowi¥zuj¥cym terminie podatku podlegaj¥cego wpˆacie do urz©du skarbowego lub wpˆacenia go w niepeˆnej wysoko˜ci niniejsza deklaracja"," stanowi podstaw© do wystawienia tytuˆu wykonawczego, zgodnie z przepisami o post©powaniu egzekucyjnym w administracji;
. Za podanie nieprawdy lub zatajenie prawdy i przez to nara¾enie podatku na uszczuplenie grozi odpowiedzialno˜† przewidziana w przepis",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\,.,,,,"PVAT->(dbseek('M'+strtran(vg('okr'),'.','')))",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\,.,,,1...999,"RV->(dbskip(1)).and.left(RV->DATA,7)==VG('okr').and.(empty(RV->DST_KLI).or.DK->(dbseek(RV->DST_KLI))).and.KD->(dbseek(RV->NR_DOK)) .and. progress(""Sprzeda¾"", PVAT->ILS, vg('LpSp'))",,,,,RVS,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\01.LpSprzedazy\,.,N,5,,"vp('LpSp', vg('LpSp')+1)",,Liczba porz¥dkowa wiersza ewidencji w zakresie podatku nale¾nego. W nast©puj¥cych po sobie wierszach podaje si© kolejn¥ liczb© naturaln¥ pocz¥wszy od 1.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\02.KodKrajuNadaniaTIN\,.,Z,2,,"iif(!empty(DK->KK),DK->KK,.F.)",,"Kod kraju nadania numeru, za pomoc¥ kt¢rego nabywca, dostawca lub usˆugodawca jest zidentyfikowany na potrzeby podatku lub podatku od warto˜ci dodanej (pole opcjonalne). Podaje si© literowy kod kraju, w kt¢rym nabywca, dostawca lub usˆugodawca (kontrahent",) jest zidentyfikowany na potrzeby podatku lub podatku od warto˜ci dodanej.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\03.NrKontrahenta\,.,Z,11,,"iif(!empty(trim(DK->NIPBK)),trim(DK->NIPBK),""BRAK"")",,"Numer, za pomoc¥ kt¢rego nabywca, dostawca lub usˆugodawca jest zidentyfikowany na potrzeby podatku lub podatku od warto˜ci dodanej (wyˆ¥cznie kod cyfrowo-literowy). Podaje si© numer, za pomoc¥ kt¢rego nabywca, dostawca lub usˆugodawca (kontrahent) jest z","identyfikowany na potrzeby podatku lub podatku od warto˜ci dodanej, bez literowego kodu kraju. W przypadku braku - w polu tym nale¾y wpisa† ""BRAK"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\04.NazwaKontrahenta\,.,Z,64,,"IIF(!empty(trim(DK->NAZWA)+"" ""+trim(DK->NAZWA_CD)),trim(DK->NAZWA)+"" ""+trim(DK->NAZWA_CD),""-"")",,"Imi© i nazwisko lub nazwa nabywcy, dostawcy lub usˆugodawcy. Podaje si© imi© i nazwisko lub nazw© nabywcy, dostawcy lub usˆugodawcy (kontrahenta), imi© i nazwisko lub nazw© nadawcy w przypadku zgˆoszenia celnego. W przypadku braku - w polu tym nale¾y wpis","a† ""BRAK"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\05.DowodSprzedazy\,.,Z,32,,"iif(!empty(trim(RV->NDK)),trim(RV->NDK),""-"")",,"Numer dowodu. Podaje si© numer dokumentu, odpowiednio faktury lub faktury koryguj¥cej, numer raportu fiskalnego lub innego dowodu wewn©trznego, a w przypadku dowod¢w dokumentuj¥cych dokonanie importu towar¢w, rozliczanego zgodnie z art. 33a ustawy, numer","zgˆoszenia celnego lub numer deklaracji importowej, o kt¢rej mowa w art. 33b ustawy. W przypadku braku - w polu tym nale¾y wpisa† ""BRAK"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\06.DataWystawienia\,.,D,10,,"iif(!empty(ctod(KD->D_WYST)),KD->D_WYST,KD->DATA)",,"Data wystawienia dowodu. Podaje si© dat© wystawienia (dokumentu), odpowiednio faktury lub faktury koryguj¥cej, dat© raportu fiskalnego lub innego dowodu wewn©trznego, a w przypadku dowod¢w dokumentuj¥cych dokonanie importu towar¢w, rozliczanego zgodnie z","art. 33a ustawy, dat©
17
przyj©cia zgˆoszenia celnego lub dat© deklaracji importowej, o kt¢rej mowa w art. 33b ustawy.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\07.DataSprzedazy\,.,D,10,,"iif(!empty(ctod(RV->D_SP)),RV->D_SP,RV->DATA)",,"Data dokonania lub zakoäczenia dostawy towar¢w lub wykonania usˆugi lub data otrzymania zapˆaty, o ile taka data jest okre˜lona i r¢¾ni si© od daty wystawienia dowodu (pole opcjonalne). Podaje si© dat© dokonania lub zakoäczenia dostawy towar¢w lub wykonan","ia usˆugi lub dat© otrzymania caˆo˜ci lub cz©˜ci zapˆaty, w przypadkach o kt¢rych mowa w art. 106b ust. 1 pkt 4 ustawy, tj. w przypadku otrzymania caˆo˜ci lub cz©˜ci zapˆaty przed dokonaniem dostawy towar¢w lub wykonaniem usˆugi, o ile taka data jest okre",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\08.NrKSeF\,.,Z,35,,"iif(len(trim(RV->KSEF))<5,.F.,RV->KSEF)",,Numer identyfikuj¥cy faktur© w Krajowym Systemie e-Faktur,,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\09.BFK\,.,N,1,,"iif(len(trim(RV->KSEF))<5.and.RV->KSEF<>""DI"".and.RV->KSEF<>""OFF"",1,.F.)",,Faktura elektroniczna lub faktura w postaci papierowej,,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\10.DI\,.,N,1,,"iif(trim(RV->KSEF)==""DI"",1,.F.)",,Dow¢d inny ni¾ faktura,,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\11.OFF\,.,N,1,,"iif(trim(RV->KSEF)==""OFF"",1,.F.)",,"Faktura, o kt¢rej mowa w art. 106nf ust. 1 ustawy, kt¢ra na dzieä zˆo¾enia ewidencji nie posiada numeru identyfikuj¥cego t© faktur© w Krajowym Systemie e-Faktur",,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\12.TypDokumentu\,.,Z,3,,"iif(RVJ(RV->NR_DOK,'RO'),'RO',iif(RVJ(RV->NR_DOK,'WEW'),'WEW',iif(RVJ(RV->NR_DOK,'FP'),'FP',.F.)))",,"Oznaczenia dowodu sprzeda¾y (pole opcjonalne). Podaje si© przez wyb¢r odpowiedniego oznaczenia, tylko w przypadku wyst¥pienia w danym okresie rozliczeniowym okre˜lonego dowodu: . RO - w przypadku dokumentu zbiorczego wewn©trznego zawieraj¥cego informacj©","o sprzeda¾y z kas rejestruj¥cych; . WEW - w przypadku dokumentu wewn©trznego; przykˆad: przekazanie nieodpˆatnie przez podatnika towar¢w nale¾¥cych do jego przedsi©biorstwa, dokument zbiorczy dotycz¥cy sprzeda¾y na rzecz os¢b fizycznych nieewidencjonowane",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\13.GTU_01\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_01'),1,.F.)",,"Dostawa napoj¢w alkoholowych - alkoholu etylowego, piwa, wina, napoj¢w fermentowanych i wyrob¢w po˜rednich, w rozumieniu przepis¢w o podatku akcyzowym.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\14.GTU_02\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_02'),1,.F.)",,"Dostawa towar¢w, o kt¢rych mowa w art. 103 ust. 5aa ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\15.GTU_03\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_03'),1,.F.)",,"Dostawa oleju opaˆowego w rozumieniu przepis¢w o podatku akcyzowym oraz olej¢w smarowych, pozostaˆych olej¢w o kodach CN od 2710 19 71 do 2710 19 99, z wyˆ¥czeniem wyrob¢w o kodzie CN 2710 19 85 (oleje biaˆe, parafina ciekˆa) oraz smar¢w plastycznych zali","czanych do kodu CN 2710 19 99, olej¢w smarowych o kodzie CN 2710 20 90, preparat¢w smarowych obj©tych pozycj¥ CN 3403, z wyˆ¥czeniem smar¢w plastycznych obj©tych t¥ pozycj¥.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\16.GTU_04\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_04'),1,.F.)",,"Dostawa wyrob¢w tytoniowych, suszu tytoniowego, pˆynu do papieros¢w elektronicznych i wyrob¢w nowatorskich, w rozumieniu przepis¢w o podatku akcyzowym.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\17.GTU_05\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_05'),1,.F.)",,Dostawa odpad¢w - wyˆ¥cznie okre˜lonych w poz. 79-91 zaˆ¥cznika nr 15 do ustawy.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\18.GTU_06\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_06'),1,.F.)",,"Dostawa urz¥dzeä elektronicznych oraz cz©˜ci i materiaˆ¢w do nich, wyˆ¥cznie okre˜lonych w poz. 7-9, 59-63, 65, 66, 69 i 94-96 zaˆ¥cznika nr 15 do ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\19.GTU_07\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_07'),1,.F.)",,Dostawa pojazd¢w oraz cz©˜ci samochodowych o kodach wyˆ¥cznie CN 8701 - 8708 oraz CN 8708 10.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\20.GTU_08\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_08'),1,.F.)",,"Dostawa metali szlachetnych oraz nieszlachetnych - wyˆ¥cznie okre˜lonych w poz. 1-3 zaˆ¥cznika nr 12 do ustawy oraz w poz. 12-25, 33-40, 45, 46, 56 i 78 zaˆ¥cznika nr 15 do ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\21.GTU_09\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_09'),1,.F.)",,"Dostawa lek¢w oraz wyrob¢w medycznych - produkt¢w leczniczych, ˜rodk¢w spo¾ywczych specjalnego przeznaczenia ¾ywieniowego oraz wyrob¢w medycznych, obj©tych obowi¥zkiem zgˆoszenia, o kt¢rym mowa w art. 37av ust. 1 ustawy z dnia 6 wrze˜nia 2001 r. - Prawo f","armaceutyczne (Dz. U. z 2019 r. poz. 499, z p¢«n. zm.).",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\22.GTU_10\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_10'),1,.F.)",,"Dostawa budynk¢w, budowli i grunt¢w.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\23.GTU_11\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_11'),1,.F.)",,"—wiadczenie usˆug w zakresie przenoszenia uprawnieä do emisji gaz¢w cieplarnianych, o kt¢rych mowa w ustawie z dnia 12 czerwca 2015 r. o systemie handlu uprawnieniami do emisji gaz¢w cieplarnianych (Dz. U. z 2018 r. poz. 1201 i 2538 oraz z 2019 r. poz. 73","0, 1501 i 1532).",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\24.GTU_12\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_12'),1,.F.)",,"—wiadczenie usˆug o charakterze niematerialnym - wyˆ¥cznie: doradczych, ksi©gowych, prawnych, zarz¥dczych, szkoleniowych, marketingowych, firm centralnych (head offices), reklamowych, badania rynku i opinii publicznej, w zakresie badaä naukowych i prac ro",zwojowych.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\25.GTU_13\,.,N,1,,"iif(RVJ(RV->NR_DOK,'GTU_13'),1,.F.)",,"—wiadczenie usˆug transportowych i gospodarki magazynowej - Sekcja H PKWiU 2015 symbol ex 49.4, ex 52.1.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\26.SW\,.,N,1,,"iif(RVJ(RV->NR_DOK,'SW'),1,.F.)",,"Dostawa w ramach sprzeda¾y wysyˆkowej z terytorium kraju, o kt¢rej mowa w art. 23 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\27.EE\,.,N,1,,"iif(RVJ(RV->NR_DOK,'EE'),1,.F.)",,"—wiadczenie usˆug telekomunikacyjnych, nadawczych i elektronicznych, o kt¢rych mowa w art. 28k ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\28.TP\,.,N,1,,"iif(RVJ(RV->NR_DOK,'TP'),1,.F.)",,"Istniej¥ce powi¥zania mi©dzy nabywc¥ a dokonuj¥cym dostawy towar¢w lub usˆugodawc¥, o kt¢rych mowa w art. 32 ust. 2 pkt 1 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\29.TT_WNT\,.,N,1,,"iif(RVJ(RV->NR_DOK,'TT_WNT'),1,.F.)",,"Wewn¥trzwsp¢lnotowe nabycie towar¢w dokonane przez drugiego w kolejno˜ci podatnika VAT w ramach transakcji tr¢jstronnej w procedurze uproszczonej, o kt¢rej mowa w dziale XII rozdziaˆ 8 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\30.TT_D\,.,N,1,,"iif(RVJ(RV->NR_DOK,'TT_D'),1,.F.)",,"Dostawa towar¢w poza terytorium kraju dokonana przez drugiego w kolejno˜ci podatnika VAT w ramach transakcji tr¢jstronnej w procedurze uproszczonej, o kt¢rej mowa w dziale XII rozdziaˆ 8 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\31.MR_T\,.,N,1,,"iif(RVJ(RV->NR_DOK,'MR_T'),1,.F.)",,—wiadczenie usˆug turystyki opodatkowane na zasadach mar¾y zgodnie z art. 119 ustawy.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\32.MR_UZ\,.,N,1,,"iif(RVJ(RV->NR_DOK,'MR_UZ'),1,.F.)",,"Dostawa towar¢w u¾ywanych, dzieˆ sztuki, przedmiot¢w kolekcjonerskich i antyk¢w, opodatkowana na zasadach mar¾y zgodnie z art. 120 ustawy.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\1.SprzedazWiersz\33.I_42\,.,N,1,,"iif(RVJ(RV->NR_DOK,'I_42'),1,.F.)",,Wewn¥trzwsp¢lnotowa dostawa towar¢w nast©puj¥ca po imporcie tych towar¢w w ramach procedury celnej 42 (import).,,,,,,,,,2022.02.09 11:39:10
